workload,machines,thresTemp,envTemp,acPower
1280,2,22,25,782.0247781413
1280,3,22,25,942.8198511482
1280,4,22,25,990.6963547028
1280,5,22,25,1111.3548270817
1280,6,22,25,1172.1031636597
1280,7,22,25,1267.8851255559
1280,8,22,25,1352.9156940048
1280,9,22,25,1448.5073313783
1280,10,22,25,1544.2310306656
1280,11,22,25,1640.4363675205
1280,12,22,25,1736.4630323746
1280,13,22,25,1832.4197820979
1280,14,22,25,1928.4464469519
1280,15,22,25,2024.3410498922
1280,16,22,25,2120.4725874425
1280,17,22,25,2216.6041249927
1280,18,22,25,2314.2660270727
1280,19,22,25,2411.9279291527
1280,20,22,25,2509.5898312327
1280,21,22,25,2607.2478491387
1280,22,22,25,2704.9097512187
1280,23,22,25,2801.1772348566
1280,24,22,25,2897.0757219708
1280,25,22,25,2993.5801402187
1280,26,22,25,3091.2381581247
1280,27,22,25,3193.6504049251
1280,28,22,25,3296.563710163
1280,29,22,25,3572.0547474316
1280,30,22,25,3675.3953118021
1280,31,22,25,3778.3086170399
1280,32,22,25,3883.6728360296
1280,33,22,25,3989.464314152
1280,34,22,25,4095.2480239265
1280,35,22,25,4371.9276184188
1280,36,22,25,4638.3918354664
1280,37,22,25,4733.9912411878
1280,38,22,25,4859.2564052047
1280,39,22,25,4955.1375352276
1280,40,22,25,5222.8092101318
1280,41,22,25,5490.5237148902
1280,42,22,25,5758.1953897945
1280,43,22,25,6025.8670646988
1280,44,22,25,6122.0051738464
1280,45,22,25,6392.5036191227
1280,46,22,25,6663.0448942531
1280,47,22,25,6933.5433395294
1280,48,22,25,7209.0528777379
1280,49,22,25,7484.5195860923
1280,50,22,25,7580.1437369904
1280,51,22,25,7676.281846138
1280,52,22,25,7772.3771254315
1280,53,22,25,7868.5152345791
1280,54,22,25,7966.1952184751
1280,55,22,25,8069.0576147198
1280,56,22,25,8168.8427726299
1280,57,22,25,8271.7845889612
1280,58,22,25,8374.6839973707
1280,59,22,25,8601.4569453574
1280,60,22,25,8716.3577956362
1280,61,22,25,8831.2586459151
1280,62,22,25,8946.1594961939
1280,63,22,25,9172.9748521024
1280,64,22,25,9399.7478000891
1280,65,22,25,9505.5309471809
1280,66,22,25,9608.4303555904
1280,67,22,25,9711.3721719217
1280,68,22,25,9938.1451199084
1280,69,22,25,10024.3194150434
1280,70,22,25,10146.99151308
1280,71,22,25,10252.8062962459
1280,72,22,25,10367.7100464159
1280,73,22,25,10463.6201860519
1280,74,22,25,10559.4914839487
1280,75,22,25,10655.6346740207
1280,76,22,25,10770.5384241906
1280,77,22,25,10885.4421743606
1280,78,22,25,11000.3459245305
1280,79,22,25,11265.1399467868
1280,80,22,25,11529.9339690431
1280,81,22,25,11794.7279912995
1280,82,22,25,12061.1922083471
1280,83,22,25,12325.9862306034
1280,84,22,25,12590.7802528597
1280,85,22,25,12858.487405566
1280,86,22,25,13126.155716533
1280,87,22,25,13396.6594744713
1280,88,22,25,13667.2020741489
1280,89,22,25,13937.7058320872
1280,90,22,25,14208.2095900254
1280,91,22,25,14478.7521897031
1280,92,22,25,14749.2559476413
1280,93,22,25,15015.720164689
1280,94,22,25,15283.3884756559
1280,95,22,25,15551.0956283622
1280,96,22,25,15824.0852576178
1280,97,22,25,16094.5890155561
1280,98,22,25,16365.1316152337
1280,99,22,25,16640.6071158066
1280,100,22,25,16913.5967450622
1280,101,22,25,17186.5863743178
1280,102,22,25,17296.9456409858
1280,103,22,25,17402.7604241518
1280,104,22,25,17669.2246411994
1280,105,22,25,17935.6888582471
1280,106,22,25,18202.1530752947
1280,107,22,25,18472.656833233
1280,108,22,25,18748.1711755452
1280,109,22,25,19015.8394865122
1280,110,22,25,19288.8291157678
1280,111,22,25,19559.3717154454
1280,112,22,25,19829.8754733837
1280,113,22,25,20100.379231322
1280,114,22,25,20370.9218309996
1280,115,22,25,20638.5901419666
1280,116,22,25,20906.2584529335
1280,117,22,25,21181.7727952458
1280,118,22,25,21457.2482958187
1280,119,22,25,21732.7626381309
1280,120,22,25,22008.2381387038
1280,121,22,25,22283.7524810161
1280,122,22,25,22559.227981589
1280,123,22,25,22834.7423239013
1280,124,22,25,22949.6460740712
1280,125,22,25,23045.5173719679
1280,126,22,25,23141.427511604
1280,127,22,25,23237.570701676
1280,128,22,25,23335.2287195821
1280,129,22,25,23478.0983654929
1280,130,22,25,23574.0134567352
1280,131,22,25,23669.8869891906
1280,132,22,25,23766.0514331548
1280,133,22,25,23862.174318332
1280,134,22,25,23934.6160688276
1280,135,22,25,24074.5345415858
1280,136,22,25,24197.7953146624
1280,137,22,25,24293.9597586266
1280,138,22,25,24399.3918120878
1280,139,22,25,24495.2653445431
1280,140,22,25,24591.4297885073
1280,141,22,25,24694.0774032408
1280,142,22,25,24799.8834857848
1280,143,22,25,24897.5440460804
1280,144,22,25,24995.2046063759
1280,145,22,25,25098.1431326182
1280,146,22,25,25201.0401000736
1280,147,22,25,25303.9370675289
1280,148,22,25,25379.939057311
1280,149,22,25,25475.5384630324
1280,150,22,25,25571.6816531044
1280,151,22,25,25667.7860014371
1280,152,22,25,25763.9291915092
1280,153,22,25,25860.0723815812
1280,154,22,25,25965.8483230079
1280,155,22,25,26068.7499757239
1280,156,22,25,26171.6904701793
1280,157,22,25,26267.2510341613
1280,158,22,25,26363.1611737974
1280,159,22,25,26460.8968751821
1280,160,22,25,26575.800625352
1280,161,22,25,26678.702278068
1280,162,22,25,26784.517061234
1280,163,22,25,26962.0725369482
1280,164,22,25,27129.8614762512
1280,165,22,25,27232.8000024935
1280,166,22,25,27575.2418181138
1280,167,22,25,27690.6479804507
1280,168,22,25,28033.089796071
1280,169,22,25,28375.5316116913
1280,170,22,25,28717.9734273116
1280,171,22,25,29060.4152429319
1280,172,22,25,29237.9933505941
1280,173,22,25,29415.5714582563
1280,174,22,25,29593.1495659185
1280,175,22,25,29770.7276735807
1280,176,22,25,30037.2000265976
1280,177,22,25,30303.6723796146
1280,178,22,25,30570.1447326315
1280,179,22,25,30836.5755268615
1280,180,22,25,31014.1536345237
1280,181,22,25,31191.7317421859
1280,182,22,25,31464.7288247591
1280,183,22,25,31642.3069324213
1280,184,22,25,31819.8850400834
1280,185,22,25,31997.4631477456
1280,186,22,25,32175.0412554078
1280,187,22,25,32352.61936307
1280,188,22,25,32530.1974707322
1280,189,22,25,32707.7755783944
1280,190,22,25,32885.3536860566
1280,191,22,25,33062.9317937188
1280,192,22,25,33240.509901381
1280,193,22,25,33336.4249926233
1280,194,22,25,33432.2985250787
1280,195,22,25,33528.4214102559
1280,196,22,25,33624.5858542201
1280,197,22,25,33720.7087393973
1280,198,22,25,33818.3692996929
1280,199,22,25,33921.2662671482
1280,200,22,25,34018.9268274438
1280,201,22,25,34124.7329099878
1280,202,22,25,34227.6298774431
1280,203,22,25,34333.4359599872
1280,204,22,25,34439.2420425313
1280,205,22,25,34554.1494994244
1280,206,22,25,34669.0569563176
1280,207,22,25,34846.6350639798
1280,208,22,25,35024.2131716419
1280,209,22,25,35201.7497205172
1280,210,22,25,35393.7902860491
6400,2,22,25,837.092590476
6400,3,22,25,1019.9110277733
6400,4,22,25,1214.0105089635
6400,5,22,25,1376.654277373
6400,6,22,25,1538.4170898653
6400,7,22,25,1710.8416728902
6400,8,22,25,1883.3373094673
6400,9,22,25,2034.9080545193
6400,10,22,25,2159.9993833014
6400,11,22,25,2260.9062046035
6400,12,22,25,2355.2164347806
6400,13,22,25,2449.5732752259
6400,14,22,25,2543.6970643299
6400,15,22,25,2639.6774957857
6400,16,22,25,2750.5572604731
6400,17,22,25,2830.3565763204
