workload,machines,responseTime
640,2,12.8727
640,3,11.7
640,4,12.9
640,5,12.8727
640,6,12.8727
640,7,12.9
640,8,12.8727
640,9,12.8727
640,10,12.8727
640,11,12.8727
640,12,12.8727
640,13,12.8727
640,14,12.8727
640,15,12.8727
640,16,12.8727
640,17,12.9
640,18,12.8727
640,19,12.8727
640,20,12.8727
640,21,12.8727
640,22,11.6741
640,23,11.6741
640,24,11.6741
640,25,11.6741
640,26,11.6741
640,27,11.6741
640,28,11.6741
640,29,11.6741
640,30,11.6741
640,31,11.6741
640,32,12.8727
640,33,12.8727
640,34,12.8727
640,35,12.8727
640,36,12.8727
640,37,12.8727
640,38,12.8727
640,39,12.8727
640,40,12.8727
640,41,12.8727
640,42,12.8727
640,43,12.8727
640,44,12.8727
640,45,12.8727
640,46,12.8727
640,47,12.8727
640,48,12.8727
640,49,12.8727
640,50,12.8727
640,51,12.8727
640,52,12.8727
640,53,12.8727
640,54,12.8727
640,55,12.8727
640,56,12.8727
640,57,12.8727
640,58,12.8727
640,59,12.8727
640,60,12.8727
640,61,12.8727
640,62,12.8727
640,63,12.8727
640,64,12.8727
640,65,12.8727
640,66,12.8727
640,67,12.8727
640,68,12.8727
640,69,12.0312
640,70,12.0312
640,71,12.0312
640,72,12.0312
640,73,12.0312
640,74,12.0312
640,75,12.0312
640,76,12.0312
640,77,12.0312
640,78,12.0312
640,79,12.0312
640,80,12.0312
640,81,12.0312
640,82,12.0312
640,83,12.0312
640,84,12.0312
640,85,12.0312
640,86,12.0312
640,87,12.0312
640,88,12.0312
640,89,12.0312
640,90,12.0312
640,91,12.0312
640,92,12.0312
640,93,12.0312
640,94,12.0312
640,95,12.0312
640,96,12.0312
640,97,12.0312
640,98,12.0312
640,99,12.0312
640,100,12.0312
640,101,12.0312
640,102,12.0312
640,103,12.0312
640,104,12.0312
640,105,12.0312
640,106,12.0312
640,107,12.0312
640,108,12.0312
640,109,12.0312
640,110,12.0312
640,111,12.0312
640,112,12.0312
640,113,12.0312
640,114,12.0312
640,115,12.0312
640,116,12.0312
640,117,12.0312
640,118,12.0312
640,119,12.0312
640,120,12.0312
640,121,12.0312
640,122,12.0312
640,123,12.0312
640,124,12.0312
640,125,12.0312
640,126,12.0312
640,127,12.0312
640,128,12.0312
640,129,12.0312
640,130,12.0312
640,131,12.0312
640,132,12.0312
640,133,12.0312
640,134,12.0312
640,135,12.0312
640,136,12.0312
640,137,12.0312
640,138,12.0312
640,139,12.0312
640,140,12.0312
640,141,12.0312
640,142,12.0312
640,143,12.0312
640,144,12.0312
640,145,12.0312
640,146,12.0312
640,147,12.0312
640,148,12.0312
640,149,12.0312
640,150,12.0312
640,151,12.0312
640,152,12.0312
640,153,12.0312
640,154,12.0312
640,155,12.0312
640,156,12.0312
640,157,12.0312
640,158,12.0312
640,159,12.0312
640,160,12.0312
640,161,12.0312
640,162,12.0312
640,163,12.0312
640,164,12.0312
640,165,12.0312
640,166,12.0312
640,167,12.0312
640,168,12.0312
640,169,12.0312
640,170,12.0312
640,171,12.0312
640,172,12.0312
640,173,12.0312
640,174,12.0312
640,175,12.0312
640,176,12.0312
640,177,12.0312
640,178,12.0312
640,179,12.0312
640,180,12.0312
640,181,12.0312
640,182,12.0312
640,183,12.0312
640,184,12.0312
640,185,12.0312
640,186,12.0312
640,187,12.0312
640,188,12.0312
640,189,12.0312
640,190,12.0312
640,191,12.0312
640,192,12.0312
640,193,12.0312
640,194,12.0312
640,195,12.0312
640,196,12.0312
640,197,12.0312
640,198,12.0312
640,199,12.0312
640,200,12.0312
640,201,12.0312
640,202,12.0312
640,203,12.0312
640,204,12.0312
640,205,12.0312
640,206,12.0312
640,207,12.0312
640,208,12.0312
640,209,12.0312
640,210,12.0312
1280,2,30.8417
1280,3,23.5805
1280,4,25.7
1280,5,23.6
1280,6,25.7455
1280,7,25.7455
1280,8,25.7455
1280,9,25.7
1280,10,25.7455
1280,11,25.7455
1280,12,25.7455
1280,13,25.7455
1280,14,25.7455
1280,15,25.7455
1280,16,25.7455
1280,17,25.7455
1280,18,25.7455
1280,19,25.7
1280,20,25.7455
1280,21,25.7
1280,22,25.7
1280,23,25.7455
1280,24,25.7455
1280,25,25.7
1280,26,25.7455
1280,27,25.7
1280,28,25.7455
1280,29,25.7455
1280,30,25.7455
1280,31,25.7
1280,32,25.7455
1280,33,25.7455
1280,34,25.7455
1280,35,25.7455
1280,36,25.7455
1280,37,25.7455
1280,38,23.3482
1280,39,23.3482
1280,40,23.3482
1280,41,23.3482
1280,42,23.3482
1280,43,23.3482
1280,44,23.3482
1280,45,23.3482
1280,46,23.3482
1280,47,23.3482
1280,48,23.3482
1280,49,23.3482
1280,50,23.3482
1280,51,23.3482
1280,52,23.3482
1280,53,23.3482
1280,54,23.3482
1280,55,23.3482
1280,56,23.5805
1280,57,23.5805
1280,58,23.5805
1280,59,23.5805
1280,60,23.5805
1280,61,23.5805
1280,62,23.5805
1280,63,23.5805
1280,64,23.5805
1280,65,23.5805
1280,66,23.5805
1280,67,23.5805
1280,68,23.5805
1280,69,25.7455
1280,70,25.7455
1280,71,25.7455
1280,72,25.7455
1280,73,25.7455
1280,74,25.7455
1280,75,25.7455
1280,76,25.7455
1280,77,25.7455
1280,78,25.7455
1280,79,25.7455
1280,80,25.7455
1280,81,25.7455
1280,82,25.7455
1280,83,25.7455
1280,84,25.7455
1280,85,25.7455
1280,86,25.7455
1280,87,25.7455
1280,88,25.7455
1280,89,25.7455
1280,90,25.7455
1280,91,25.7455
1280,92,25.7455
1280,93,25.7455
1280,94,25.7455
1280,95,25.7455
1280,96,25.7455
1280,97,25.7455
1280,98,25.7455
1280,99,25.7455
1280,100,25.7455
1280,101,25.7455
1280,102,25.7455
1280,103,25.7455
1280,104,25.7455
1280,105,25.7455
1280,106,25.7455
1280,107,25.7455
1280,108,25.7455
1280,109,25.7455
1280,110,25.7455
1280,111,25.7455
1280,112,25.7455
1280,113,25.7455
1280,114,25.7455
1280,115,25.7455
1280,116,25.7455
1280,117,25.7455
1280,118,25.7455
1280,119,25.7455
1280,120,25.7455
1280,121,25.7455
1280,122,25.7455
