workload,machines,cpuPower
64000,24,4459.0010997944
64000,25,4609.2830617497
64000,26,4696.9823356107
64000,27,4854.6657176139
64000,28,5025.0320231069
64000,29,5338.7501631331
64000,30,5434.1681960488
64000,31,5616.6069318629
64000,32,5714.3453770991
64000,33,5910.6059172154
64000,34,6006.4555516782
64000,35,6355.4311570922
64000,36,6620.1839779375
64000,37,6817.3068423223
64000,38,6923.4818043525
64000,39,7025.5595651325
64000,40,7401.6480532265
64000,41,7668.984088367
64000,42,8048.996479117
64000,43,8329.8418890781
64000,44,8436.7417346161
64000,45,8824.5139166671
64000,46,9105.5763791215
64000,47,9392.1684929247
64000,48,9809.7129816702
64000,49,10080.931682362
64000,50,10182.9293092691
64000,51,10292.0741828694
64000,52,10411.8195109298
64000,53,10523.7273744213
64000,54,10652.2924677266
64000,55,10905.7567836694
64000,56,11055.1517286498
64000,57,11176.3644593813
64000,58,11282.4868994376
64000,59,11558.6413469068
64000,60,11655.1376927863
64000,61,11770.7612478455
64000,62,11909.2036179131
64000,63,12215.1993432914
64000,64,12496.3134645493
64000,65,12605.4597054397
64000,66,12748.947480392
64000,67,12907.279575133
64000,68,13165.4559217422
64000,69,13323.5265693388
64000,70,13490.3284441378
64000,71,13599.9833192772
64000,72,13752.323287012
64000,73,13847.9168492468
64000,74,13959.2047278231
64000,75,14018.6328024172
64000,76,14107.3597962055
64000,77,14190.0730727073
64000,78,14268.2693947144
64000,79,14496.8256182868
64000,80,14717.2177323417
64000,81,14900.3827292928
64000,82,15107.6997229322
64000,83,15310.8458451533
64000,84,15516.7241644848
64000,85,15763.6882852661
64000,86,15940.6770321412
64000,87,16151.3815371258
64000,88,16363.3119011011
64000,89,16565.1278770389
64000,90,16755.4297078313
64000,91,16952.4075368804
64000,92,17161.0328298745
64000,93,17370.3523937207
64000,94,17543.030288906
64000,95,17760.1372628494
64000,96,17975.5419557175
64000,97,18133.9637760532
64000,98,18332.9613833928
64000,99,18546.8450560652
64000,100,18732.9763763624
64000,101,18942.1800079371
64000,102,19011.4162530005
64000,103,19106.7960309913
64000,104,19276.1837842877
64000,105,19492.9174396308
64000,106,19669.8004061909
64000,107,19878.4932264954
64000,108,20081.5310147006
64000,109,20254.2367568575
64000,110,20460.6259386356
64000,111,20640.5017206957
64000,112,20839.7323793765
64000,113,21036.5548408648
64000,114,21247.9498253068
64000,115,21442.6214487476
64000,116,21640.2500175082
64000,117,21832.2345351014
64000,118,22043.0551470302
64000,119,22242.6290745539
64000,120,22432.6454434579
64000,121,22652.8974854631
64000,122,22853.5968946326
64000,123,23035.0761301048
64000,124,23140.0254103855
64000,125,23206.5454411273
64000,126,23291.8916777366
64000,127,23412.0799044332
64000,128,23514.6214248285
64000,129,23565.8967325754
64000,130,23657.775598976
64000,131,23925.3525874271
64000,132,23977.7036659878
64000,133,24027.3788643883
64000,134,24084.2403244222
64000,135,24129.6319871519
64000,136,24161.5122701531
64000,137,24241.8867448165
64000,138,24364.9032620747
64000,139,24414.0299663064
64000,140,24486.7389902662
64000,141,24592.651951973
64000,142,24692.0009960237
64000,143,24776.4874991246
64000,144,24877.9913324084
64000,145,24941.4363342578
64000,146,25050.3069512214
64000,147,25129.2182381275
64000,148,25223.3537206932
64000,149,25313.1315996296
